aco_id,aco_name,aco_service_area,agreement_period_num,initial_start_date,current_start_date,re-entering_aco,basic_track,basic_track_level,enhanced_track,high_revenue_aco,low_revenue_aco,adv_pay,aim,aip,snf_3-day_rule_waiver,prospective_assignment,retrospective_assignment,aco_address,aco_public_reporting_website,aco_exec_name,aco_exec_email,aco_exec_phone,aco_public_name,aco_public_email,aco_public_phone,aco_compliance_contact_name,aco_medical_director_name,lat,long
A2628,"Adena Healthcare Collaborative, LLC",OH,3,01/01/2015,01/01/2022,0,1,B,0,0,1,0,0,0,0,1,0,"272 Hospital Road, Chillicothe, OH, 45601",https://www.adena.org/about-adena/adena-healthcare-collaborative,"Joseph Zakrzewski",jzakrzewski@adena.org,"(740) 779-7398","Jessica Parsons",jparsons3@adena.org,"(740) 418-5545","Kristin Boggs","",39.3962346,-82.9683385
A2193,"Adirondacks ACO, LLC",NY,3,01/01/2014,01/01/2020,0,1,B,0,1,0,0,0,0,0,1,0,"75 Beekman Street, Plattsburgh, NY, 12901",https://www.adirondacksaco.com/public-reporting/,"Karen Ashline",kashline@ahihealth.org,"(518) 314-3663","Karen Ashline",kashline@ahihealth.org,"(518) 314-3663","","Jun Chon",44.7014853,-73.4700158
A4794,"Advanced Doctors ACO, LLC","FL, SC",2,01/01/2020,01/01/2022,0,0,N/A,1,0,1,0,0,0,1,0,1,"1155 S Congress Ave, West Palm Beach, FL, 33406",https://www.advanceddoctorsaco.org/wp-content/uploads/2023/09/ADACO-Public-Reporting-Updates-09.15.2023-1.pdf,"David Klebonis",dklebonis@advancedaco.com,"(352) 258-1188","Thomas Leach",tleach@advancedaco.com,"(850) 602-0470","David Klebonis","Audwin Nelson",26.6597316,-80.0892411
A5166,"Advantage ACO","MI, OH",2,01/01/2023,01/01/2024,0,1,C,0,0,1,0,0,0,0,0,1,"39555 Orchard Hills Place, Suite 445, Novi, MI, 48375",https://www.medicaladvantage.com/solutions/aco/mssp/,"Darline El Reda",delreda@medicaladvantage.com,"(734) 344-4284","Brandy Smuzeski",bsmuzeski@medicaladvantage.com,"(810) 931-0416","Ben Bawcum","Robert Jackson",42.4434703,-83.4374247
A5347,"AdvantageCare ACO",NY,2,01/01/2024,01/01/2024,1,1,E,0,0,1,0,0,0,0,1,0,"55 Water Street, 2nd Floor, New York, NY, 10041",https://www.acpny.com/campaigns/direct-contracting-medicare-program-to-improve-health-outcomes,"NAVARRA RODRIGUEZ",nvr3@yahoo.com,"(347) 918-7735","Peiman Saadat",Saadatp@acpny.com,"(646) 680-1457","Peiman Saadat","NAVARRA RODRIGUEZ",40.7034056,-73.9923495
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC","NC, VA",2,07/01/2019,01/01/2024,0,1,E,0,1,0,0,0,0,1,0,1,"330 Seven Springs Way, Brentwood, TN, 37027",https://www.advantagepointhealth.com/blue-ridge-aco,"Brett Jackson",bjackson@gatewayhealth.com,"(434) 425-1357","Brett Jackson",bjackson@gatewayhealth.com,"(434) 425-1357","Ashlie Heald","Michael Caplan",36.0416398,-86.7692102
A5028,"AdvantagePoint Health Alliance - Bluegrass, LLC",KY,2,01/01/2022,01/01/2024,0,1,E,0,1,0,0,0,0,1,0,1,"330 Seven Springs Way, Brentwood, TN, 37027",https://www.advantagepointhealth.com/commonwealth-aco-public-reporting,"David Mastin",David.Mastin@LPNT.net,"(810) 919-7026","David Mastin",David.Mastin@LPNT.net,"(810) 919-7026","Ashlie Heald","JONATHAN DIXON",36.0416398,-86.7692102
A4652,"AdvantagePoint Health Alliance - Great Lakes, LLC","MI, WI",2,07/01/2019,01/01/2024,0,1,E,0,1,0,0,0,0,0,0,1,"330 Seven Springs Way, Brentwood, TN, 37027",https://www.advantagepointhealth.com/great-lakes-aco-public-reporting,"Julie Kelly",julie.kelly1@lpnt.net,"(906) 361-5678","Julie Kelly",julie.kelly1@lpnt.net,"(906) 361-5678","Ashlie Heald","Frederick Hoenke",36.0416398,-86.7692102
A5037,"AdvantagePoint Health Alliance - Hot Springs, LLC",AR,2,01/01/2022,01/01/2024,0,1,E,0,1,0,0,0,0,1,0,1,"330 Seven Springs Way, Brentwood, TN, 37027",https://www.advantagepointhealth.com/hot-springs-aco-public-reporting,"Brittney Carrington",brittney.carrington@lpnt.net,"(501) 317-6355","Brittney Carrington",brittney.carrington@lpnt.net,"(501) 317-6355","Ashlie Heald","Christopher Skelley",36.0416398,-86.7692102
A4657,"AdvantagePoint Health Alliance - Laurel Highlands, LLC",PA,2,07/01/2019,01/01/2024,0,1,E,0,1,0,0,0,0,1,0,1,"330 Seven Springs Way, Brentwood, TN, 37027",https://www.advantagepointhealth.com/laurel-highlands-aco-public-reporting,"Kirsten Held",kirsten.held@lpnt.net,"(615) 920-7000","Kirsten Held",kirsten.held@lpnt.net,"(615) 920-7000","Ashlie Heald","Elliot Smith",36.0416398,-86.7692102
A5025,"AdvantagePoint Health Alliance - Northwest, LLC","ID, MT, WA",2,01/01/2022,01/01/2024,0,1,E,0,1,0,0,0,0,1,0,1,"330 Seven Springs Way, Brentwood, TN, 37027",https://www.advantagepointhealth.com/northwest-aco-public-reporting,"Delana Buntin",delana.buntin@lpnt.net,"(615) 920-7000","Delana Buntin",delana.buntin@lpnt.net,"(615) 920-7000","Ashlie Heald","Timothy Dykstra",36.0416398,-86.7692102
A5038,"AdvantagePoint Health Alliance - Tennessee Valley, LLC","AL, TN",2,01/01/2022,01/01/2024,0,1,E,0,1,0,0,0,0,1,0,1,"330 Seven Springs Way, Brentwood, TN, 37027",https://www.advantagepointhealth.com/tennessee-valley-aco-public-reporting,"Rebecca Hall",Becky.hall@lpnt.net,"(615) 920-7000","Rebecca Hall",Becky.hall@lpnt.net,"(615) 920-7000","Ashlie Heald","",36.0416398,-86.7692102
A5039,"AdvantagePoint Health Alliance - Western North Carolina, LLC",NC,2,01/01/2022,01/01/2024,0,1,E,0,1,0,0,0,0,1,0,1,"330 Seven Springs Way, Brentwood, TN, 37027",https://www.advantagepointhealth.com/western-north-carolina-aco-public-reporting,"Mitchell Slade",Mitchell.Slade@lpnt.net,"(201) 709-6754","Mitchell Slade",Mitchell.Slade@lpnt.net,"(201) 709-6754","Ashlie Heald","Philip Greene",36.0416398,-86.7692102
A3873,"Adventist Health Accountable Care, LLC",CA,2,01/01/2018,01/01/2022,0,1,B,0,1,0,0,0,0,0,0,1,"1505 Wilson Terrace, PMT/Pavilion Building #215, Glendale, CA, 91206",www.adventisthealth.org/accountable-care,"Regina Berman",BermanRS@ah.org,"(949) 554-3636","Sandra Meyers",meyerssd@ah.org,N/A,"Claudia Kanne","James Burke",34.1516705,-118.2302306
A5374,"Adventist HealthCare ACO, LLC","DC, MD",1,01/01/2024,01/01/2024,0,1,A,0,0,1,0,0,1,0,0,1,"820 West Diamond Avenue, Suite 100, Gaithersburg, MD, 20878",https://www.adventisthealthcare.com/accountable-care-organization/,"Mary Kim",mkim@adventisthealthcare.com,"(301) 315-3777",N/A,N/A,N/A,"Evelyn Pedapudi","Mary Kim",39.1424825,-77.2143783
A1033,"Advocate Physician Partners Accountable Care, Inc.","IL, WI",4,07/01/2012,01/01/2024,0,0,N/A,1,1,0,0,0,0,1,1,0,"1701 West Golf Road, Suite 2-1100, Rolling Meadows, IL, 60008",https://www.advocatehealth.com/advocate-physician-partners/advocate-physician-partners-accountable-care-inc,"Megan Reyna",megan.reyna@advocatehealth.com,"(847) 390-3667","Michael Barbati",michael.barbati@advocatehealth.com,"(847) 375-2231","Payton Watt","Marwan Baghdan",42.047633,-87.9624248
A5386,"agilon health Kentucky ACO, Inc.",KY,1,01/01/2024,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,1,0,"6210 E HIGHWAY 290, STE 450, Austin, TX, 78723",KentuckySeniorCareACO.com,"Eric Becker",eric.becker@agilonhealth.com,"(510) 206-5719",N/A,N/A,N/A,"Kimberly Busenbark","",30.3234041,-97.7017918
A5387,"agilon health Michigan ACO, Inc.",MI,3,01/01/2024,01/01/2024,1,0,N/A,1,1,0,0,0,0,0,1,0,"6210 E HIGHWAY 290, STE 450, AUSTIN, TX, 78723",MichiganSeniorCareACO.com,"Eric Becker",eric.becker@agilonhealth.com,"(510) 206-5719",N/A,N/A,N/A,"Kimberly Busenbark","",30.3234041,-97.7017918
A1403,"AHN Accountable Care Organization, LLC","IN, OH",3,07/01/2012,07/01/2019,0,1,E,0,0,1,0,0,0,0,1,0,"10689 N. Pennsylvania Street, Suite 200, Carmel, IN, 46280",http://www.ahni.com/Medicare/Accountable+Care+Organization/Public+Reporting.html,"Kristofer Rudd",kristofer.rudd@optum.optumcare.com,"(208) 999-7418",N/A,N/A,N/A,"Angela Chadwick","",39.9466136,-86.1544632
A2366,"Akira Health of Fresno Inc.","CA, GU",3,01/01/2014,01/01/2020,0,1,E,0,0,1,0,0,0,0,0,1,"1627 Hill Top View Terrace, San Jose, CA, 95138",https://akirahealth.com/central-california,"Tien Trinh",ttrinh@akiramso.com,"(408) 809-7533","Tien Trinh",ttrinh@akiramso.com,"(408) 440-0750","Christina Artero","Tien Trinh",37.2872526,-121.7949113
A2634,"Akira Health of Los Angeles Inc",CA,3,01/01/2015,01/01/2022,0,1,D,0,0,1,0,1,0,0,0,1,"1627 Hill Top View Terrace, San Jose, CA, 95138",https://akirahealth.com/southern-california,"Tien Trinh",ttrinh@akiramso.com,"(408) 809-7533","Jennifer Crocker",jcrocker@akiramso.com,"(408) 809-7520","Jennifer Crocker","Tien Trinh",37.2872526,-121.7949113
A4894,"AL MSSP Enhanced",AL,2,01/01/2020,01/01/2022,1,0,N/A,1,0,1,0,0,0,0,0,1,"4550 Montgomery Ave, Suite 950N, Bethesda, MD, 20814",https://www.aledade.com/alabama-2020-aco,"Evelyn Cayson",ecayson@aledade.com,"(662) 769-6154","Travis Broome",travis@aledade.com,"(202) 742-5897","Amy Youtz","Jarod Speer",38.9836694,-77.0916103
A3738,"Alabama Physician Network, LLC",AL,2,01/01/2018,01/01/2022,0,1,B,0,0,1,0,0,0,0,1,0,"John Whitaker Building, 500 22nd St South, Suite 504, Birmingham, AL, 35233",www.alabamaphysiciannetwork.com,"Don Lilly",dlilly@uabmc.edu,"(205) 934-7175","Don Lilly",dlilly@uabmc.edu,"(205) 934-7175","Brian Bates","Stephen Stair",33.5085907,-86.7985726
A5365,"Aledade Chesapeake MSSP 2024 Enhanced","DE, DC, MD",2,01/01/2024,01/01/2024,1,0,N/A,1,0,1,0,0,0,0,0,1,"4550 Montgomery Ave, Suite 950N, Bethseda, MD, 20814",https://www.aledade.com/aledade-chesapeake-mssp-2024-enhanced,"Tyler Blanchard",tyler@aledade.com,"(425) 275-6340","Travis Broome",travis@aledade.com,"(202) 742-5897","Amy Youtz","Rebecca Gazze-McIlroy",38.9836694,-77.0916103
A5370,"Aledade New England MSSP 2024 Enhanced","CT, MA, NH, NY",1,01/01/2024,01/01/2024,0,0,N/A,1,1,0,0,0,0,0,0,1,"4550 Montgomery Ave, Suite 950N, Bethesda, MD, 20814",https://www.aledade.com/aledade-new-england-mssp-2024-enhanced,"Krista Sperry",ksperry@aledade.com,"(203) 605-5905","Travis Broome",travis@aledade.com,"(202) 742-5897","Amy Youtz","Akinyele Lovelace",38.9836694,-77.0916103
A3378,"AllCare Health Alliance",NJ,2,01/01/2017,01/01/2020,0,1,B,0,0,1,0,0,0,0,0,1,"1 Federal Street, Suite S-400, Camden, NJ, 08103",www.allcarehealthalliance.org/governing-body/,"Daniel Hyman",Hyman-Daniel@cooperhealth.edu,"(856) 342-2030","Elizabeth Nice",nice-elizabeth@cooperhealth.edu,"(317) 490-6784","Angela Melillo","John Robertson",39.9464829,-75.1278122
A2952,"Alliance ACO, LLC",TX,2,01/01/2016,07/01/2019,0,1,B,0,0,1,0,1,0,0,0,1,"1103 N Sarah Dewitt Drive, Gonzales, TX, 78629",http://alliance-aco.net/public-reporting/,"Marshall Bishop",marshallbishopis@yahoo.com,"(361) 594-3824","Whitney Barrett",wbarrett@ydclinic.com,"(979) 725-8545","Marshall Bishop","Jorge Duchicela",29.515874,-97.4300478
A2452,"Alliance for Integrated Care of New York, LLC",NY,3,01/01/2014,01/01/2020,0,1,B,0,0,1,0,0,0,0,1,0,"40 Rector Street, 15th Floor, New York, NY, 10006",https://www.aiconys.com/public-reporting-2/,"arthur webb",arthur@arthurwebbgroup.com,"(518) 251-2001","arthur webb",arthur@arthurwebbgroup.com,"(518) 251-2001","Sareen Sareen","Sareen Sareen",40.7085942,-74.0149238
A5339,"Altais Care Alliance",CA,1,01/01/2024,01/01/2024,0,1,A,0,0,1,0,0,1,0,0,1,"601 12th Street, Suite 1600, Oakland, CA, 94607",https://www.altais.com/altais-care-alliance,"Tricia Nguyen",tricia.nguyen@altais.com,"(816) 854-9894","Jennifer Jee",jjee@altais.com,"(415) 972-4145","James Holman","Magdalena Lenartowicz",37.8042236,-122.2761501
A1702,"American Health Alliance, LLC","AL, FL, GA",3,01/01/2013,07/01/2019,0,0,N/A,1,0,1,1,0,0,1,1,0,"2654 SW 32ND PLACE, Ocala, FL, 34471",http://www.ahaaco.net/public-reporting-2/,"Jayanti Panchal",drjaypanchal1@gmail.com,"(352) 895-4890","upendra patel",upen@aaneel.com,"(813) 495-1508","SZ Kabir","Jayanti Panchal",29.1555019,-82.1666467
A1501,"AMITA Health Accountable Care Organization, LLC",IL,3,01/01/2013,07/01/2019,0,1,E,0,0,1,0,0,0,1,1,0,"200 S. Wacker Dr., Floor 11, Chicago, IL, 60606",https://healthcare.ascension.org/accountable-care/illinois,"David Hurter",david.hurter@ascension.org,"(224) 273-3373","Olga Solares",olga.solares@ascension.org,"(773) 255-1084","Laura LeCaptain","Reinhold Llerena",41.8789096,-87.63722
A1241,"AnewCare Collaborative, LLC","TN, VA",3,07/01/2012,07/01/2019,0,1,E,0,0,1,0,0,0,1,0,1,"1021 W. Oakland Avenue, Suite 310, Johnson City, TN, 37604",http://anewcare.org/about-anewcare/what-is-anewcare,"Paula Claytore",Paula.claytore@balladhealth.org,"(423) 534-6962","Paula Claytore",Paula.claytore@balladhealth.org,"(423) 534-6962","Dee Warrington","Shari Rajoo",36.3480235,-82.402701
A5450,"APOLLOMED MSSP I INC",CA,1,01/01/2024,01/01/2024,0,0,N/A,1,0,1,0,0,0,1,0,1,"2140 S Dupont Highway, Camden, DE, 19934",https://apaaco.net/mssp,"Brandon Sim",BSim@apollomed.net,"(909) 217-5767","Anthony Hou",AHou@apollomed.net,"(626) 261-2581","Kimberly Busenbark","Albert Young",39.1210887,-75.5342105
A3458,"AR MI UT MSSP Enhanced","AR, MI, UT",2,01/01/2017,01/01/2020,0,0,N/A,1,0,1,0,0,0,0,0,1,"4550 Montgomery Ave, Suite 950N, Bethesda, MD, 20814",www.Aledade.com/PMAMSSP,"Jonathan Moreno",jmoreno@aledade.com,"(202) 803-7979","Travis Broome",travis@aledade.com,"(202) 742-5897","Amy Youtz","Steven Newman",38.9836694,-77.0916103
A4776,"AR MSSP 2022","AR, MO",3,01/01/2020,01/01/2024,1,0,N/A,1,1,0,0,0,0,0,0,1,"4550 Montgomery Ave, Suite 950N, Bethesda, MD, 20814",https://www.aledade.com/west-virginia-2020-aco,"Nadine Robin",nrobin@aledade.com,"(202) 802-3797","Travis Broome",travis@aledade.com,"(202) 742-5897","Amy Youtz","William Freeman",38.9836694,-77.0916103
A4757,"AR MSSP Community Health Center Enhanced",AR,4,01/01/2020,01/01/2024,1,0,N/A,1,0,1,0,0,0,0,0,1,"4550 Montgomery Ave, Suite 950N, Bethesda, MD, 20814",https://www.aledade.com/arkansas-health-center-2020-aco,"Nadine Robin",nrobin@aledade.com,"(202) 802-3797","Travis Broome",travis@aledade.com,"(202) 742-5897","Amy Youtz","Susan Jones",38.9836694,-77.0916103
A5176,"Arizona Care Network",AZ,1,01/01/2023,01/01/2023,0,0,N/A,1,0,1,0,0,0,0,1,0,"4222 E. Thomas Rd., 400, Phoenix, AZ, 85018",https://azcarenetwork.org/mssp,"Todd Ricotta",todd.ricotta@azcarenetwork.org,"(602) 406-6613","Jonee Christensen",jonee.christensen@azcarenetwork.org,"(602) 406-7226","Deana Estes","Kevin Theodorou",33.4805523,-111.9908355
A2164,"Arkansas Health Network",AR,4,01/01/2014,01/01/2024,0,0,N/A,1,1,0,0,0,0,1,0,1,"Two St. Vincent Circle, Little Rock, AR, 72205",http://www.arkansashealthnetwork.com/mssp-aco,"Bob Sarkar",ibsarkar@stvincenthealth.com,"(501) 552-3598","Joshua Cook",joshua@ghidotticommunications.com,"(501) 777-5032","David Walsh","Lubna Maruf",34.749804,-92.3395969
A1061,"Ascension Care Management",TN,3,07/01/2012,07/01/2019,0,0,N/A,1,1,0,0,0,0,1,1,0,"P.O. Box 58245, Nashville, TN, 37205",https://ascensioncaremanagementaco.com/middle-tennessee/,"Pranali Trivedi",pranali.trivedi@ascension.org,"(845) 807-8505","Pranali Trivedi",pranali.trivedi@ascension.org,"(845) 807-8505","Laura LeCaptain","Brian Wilcox",36.1030036,-86.8722146
A2600,"Ascension Care Management",IN,3,01/01/2015,01/01/2022,0,1,E,0,0,1,0,0,0,1,0,1,"P.O. Box 58245, Nashville, TN, 37205",http://ascensioncaremanagementaco.com/indianapolis/,"Pranali Trivedi",pranali.trivedi@ascension.org,"(845) 807-8505","Pranali Trivedi",pranali.trivedi@ascension.org,"(845) 807-8505","Laura LeCaptain","Michael Emmons",36.1030036,-86.8722146
A2599,"Ascension Care Management","IL, IN, KY",3,01/01/2015,01/01/2022,0,1,B,0,1,0,0,0,0,0,0,1,"P.O. Box 58245, Nashville, TN, 37205",https://ascensioncaremanagementaco.com/evansville/,"Pranali Trivedi",pranali.trivedi@ascension.org,"(845) 807-8505","Pranali Trivedi",pranali.trivedi@ascension.org,"(845) 807-8505","Laura LeCaptain","Chad Perkins",36.1030036,-86.8722146
A5329,"Ascension Care Management Health Partners Wisconsin, LLC",WI,1,01/01/2024,01/01/2024,0,1,A,0,1,0,0,0,0,0,0,1,"400 W. River Woods Pkwy, Attn: Ascension Legal, Glendale, WI, 53212",https://ascensioncaremanagementaco.com/wisconsin/,"Matthew Hanselman",mhanselm@ascension.org,"(317) 374-7276","Erin Shustack",erin.shustack@ascension.org,"(218) 329-5763","Laura LeCaptain","Patricia Golden",43.1000784,-87.9121044
A2309,"Ascension Seton Accountable Care Organization",TX,3,01/01/2014,01/01/2020,0,1,E,0,0,1,0,0,0,1,0,1,"1345 Philomena Street, Suite 402, Austin, TX, 78723",https://healthcare.ascension.org/accountable-care/austin,"Philip Eaves",philip.eaves@ascension.org,"(281) 755-9984","Claire Cook",Claire.Cook@ascension.org,"(512) 324-9999 x16340","Laura LeCaptain","Anas Daghestani",30.3014832,-97.7081522
A1392,"Asian American Accountable Care Organization, LLC",NY,4,07/01/2012,01/01/2022,0,0,N/A,1,0,1,0,0,0,0,1,0,"202 Canal Street, Suite 500, New York, NY, 10013",https://www.aaaco.us/?page_id=103,"George Liu",georgeliumd@aol.com,"(212) 965-8435","Cong Wang",cwang@caipa.net,"(212) 965-9888","Danny Fong","Richard Ng",40.7168141,-73.9985404
A1026,"Atlantic ACO",NJ,4,04/01/2012,01/01/2024,0,1,E,0,0,1,0,0,0,0,0,1,"465 South Street, Morristown, NJ, 07962",https://zencloud-atlantichealth.s3.amazonaws.com/www.atlanticaco.org/assets/2023-09/a1026_ahs_aco_llc_public_reporting_9.23.pdf?VersionId=0KlEXi.hMRqqlUUjjctUTrbCSyEFY_8u,"Thomas Kloos",thomas.kloos@atlantichealth.org,"(862) 260-3213","Deborah Rodgers",drodgers@optimushp.com,"(908) 598-0101","Danette Slevinski","James Barr",40.7744064,-74.468957
A4516,"AtlantiCare Health Solutions, Inc.",NJ,2,07/01/2019,07/01/2019,1,1,E,0,0,1,0,0,0,1,1,0,"2500 English Creek Ave, Building 500, Egg Harbor Twp, NJ, 08234",https://www.atlanticare.org/assets/documents/aco/public-reporting-sept-2022.pdf,"Laura Campbell",laura.campbell@atlanticare.org,"(609) 383-2117","Amanda Melendez",amanda.melendez@atlanticare.org,"(609) 407-2347","Timothy Koob","Mary Ann Yehl",39.433932,-74.6051806
A5088,"Atrius Health, Inc.",MA,2,01/01/2022,01/01/2024,0,0,N/A,1,0,1,0,0,0,1,0,1,"275 Grove Street, Suite 2-300, Newton, MA, 02466",https://www.atriushealth.org/about-us/accountable-care-organization,"James Woolman",james_woolman@atriushealth.org,"(617) 460-1093","Margaret Senese",Margaret_Senese@atriushealth.org,"(617) 559-8469","Margaret Senese","Thomas Isaac",42.3387907,-71.2526939
A2266,"Augusta Care Partners, LLC",VA,4,01/01/2014,01/01/2024,0,0,N/A,1,1,0,0,0,0,1,1,0,"78 Medical Center Drive, P.O. Box 1000, Fishersville, VA, 22939",www.augustacarepartners.com/about-us/,"Clinton Merritt",cmerritt@augustahealth.com,"(434) 825-7306","Clinton Merritt",cmerritt@augustahealth.com,"(434) 825-7306","D Scott Jones","Clinton Merritt",38.094358,-78.986591
A3094,"Avant MSO",SC,2,01/01/2016,07/01/2019,0,1,E,0,0,1,0,0,0,0,0,1,"2500 Elms Center Road, North Charleston, SC, 29406",https://avantmso.org/?page_id=10,"Terry Cunningham",tcunningham@palmettoprimarycare.com,"(843) 820-3360","Morgan Bradham",mgbradham@palmettoprimarycare.com,"(843) 509-0075","Terry Cunningham","Thomas Arnau",32.9777138,-80.0612195
A4692,"Avera Prairie View ACO","IA, MN, NE, SD",2,07/01/2019,01/01/2024,0,0,N/A,1,1,0,0,0,0,1,1,0,"3900 W. Avera Drive, Suite #100, Sioux Falls, SD, 57108",https://www.signifyhealth.com/cms-reporting/caravan-health-aco-41-llc,"David Flicek",david.flicek@avera.org,"(605) 322-4576","Teri Bergeleen",teri.bergeleen@avera.org,"(605) 322-4576","Tonya Gregory","David Basel",43.4930472,-96.7742442
A3229,"Banner Health Network",AZ,2,01/01/2017,07/01/2019,0,0,N/A,1,0,1,0,0,0,1,0,1,"2901 N Central Ave, Suite 160, Phoenix, AZ, 85012",https://www.bannerhealthnetwork.com/about/mssp,"Kynda Wolfrum",kynda.wolfrum@bannerhealth.com,"(970) 810-8706","Paulette Rowen",paulette.rowen@bannerhealth.com,"(602) 747-4000","Sean Reneau","Ed Clarke",33.4807529,-112.0729283
A4768,"Banner Network Colorado, LLC",CO,1,01/01/2020,01/01/2020,1,1,E,0,1,0,0,0,0,0,0,1,"1801 16th St, NCMC, Greeley, CO, 80631",https://bannernetworkcolorado.com/about/mssp,"James Branom",jim.branom@bannerhealth.com,"(970) 810-8702","Paulette Rowen",Paulette.Rowen@bannerhealth.com,"(480) 734-1019","Sean Reneau","Brian Davidson",40.4146785,-104.7101695
